iter	Logloss	Accuracy
0	0.6397766005	0.9587520624
1	0.5878151533	0.9590520474
2	0.5351406129	0.9620518974
3	0.4987697134	0.9587520624
4	0.4649461619	0.9608519574
5	0.4338600939	0.960101994966	0.4057911444	0.9623518827	7	0.3675828872	0.9653517328	8	0.3396263686	0.9649017549	9	0.3178255239	0.9653517321010	0.2952448194	0.9661016941111	0.2712456056	0.9680515912	12	0.2513053378	0.9697015113	13	0.2324392552	0.9713514314	14	0.2145914208	0.9722513815	15	0.1984939538	0.9742011616	16	0.1842966709	0.9766011717	17	0.1715094318	0.9784011818	18	0.1611315933	0.9784019	19	19	0.1521880261	0.9799020	20	20	0.1431198991	0.9812521	21	21	0.133381821	0.9820002222	0.1264441897	0.982900855223	0.1199761609	0.98320084
24	0.1151076465	0.9842507875
25	0.109650096	0.9851507425
26	0.1035996676	0.9845507725
27	0.09864944182	0.9848507575
28	0.09564537496	0.9848507575
29	0.09170807871	0.98500075
30	0.08927382733	0.98500075
31	0.08546015072	0.9854507275
32	0.08252140994	0.9854507275
33	0.07913773102	0.9857507125
34	0.07654116402	0.9860506975
35	0.07354893973	0.98620069
36	0.07133805169	0.9863506825
37	0.06951593927	0.9866506675
38	0.06739559136	0.98680066
39	0.06600301299	0.9869506525
40	0.06435123371	0.9866506675
41	0.0621867159	0.9869506525
42	0.06007540539	0.987700615
43	0.05839348757	0.9878506075
44	0.05688080315	0.9884505775
45	0.05620941275	0.98860057
46	0.0546810978	0.9887505625
47	0.05309573583	0.9887505625
48	0.05188992069	0.9887505625
49	0.05095252431	0.9887505625
50	0.04989878265	0.988900555
51	0.04899795088	0.9890505475
52	0.04780996398	0.9896505175
53	0.04713076837	0.989500525
54	0.04592012902	0.98980051
55	0.04493866232	0.9899505025
56	0.044392213	0.9899505025
57	0.04299348822	0.990100495
58	0.04226372433	0.9905504725
59	0.04092965941	0.99160042
60	0.04013264163	0.9923503825
61	0.03940168971	0.9923503825
62	0.03903678974	0.9923503825
63	0.03860787423	0.992500375
64	0.03772979049	0.992500375
65	0.03711726981	0.992500375
66	0.03610864901	0.9926503675
67	0.03588113776	0.9926503675
68	0.03509778333	0.9926503675
69	0.03462979261	0.9926503675
70	0.03426089453	0.9926503675
71	0.03361477442	0.993100345
72	0.03288883295	0.993100345
73	0.03206426882	0.99340033
74	0.03137854395	0.99340033
75	0.03082137303	0.99340033
76	0.03026470693	0.993700315
77	0.03008199812	0.9940003
78	0.0295496067	0.9940003
79	0.02934176944	0.9940003
80	0.02853137048	0.9941502925
81	0.02838007295	0.9941502925
82	0.02805222351	0.9941502925
83	0.02762154619	0.994300285
84	0.02722965416	0.9944502775
85	0.02674709969	0.9944502775
86	0.0259962104	0.9947502625
87	0.02557611053	0.99520024
88	0.0252368763	0.9953502325
89	0.02507860469	0.9956502175
90	0.02484513553	0.9956502175
91	0.02450955688	0.996100195
92	0.02415123892	0.996100195
93	0.02384141921	0.996100195
94	0.02370686735	0.9962501875
95	0.02328914606	0.99640018
96	0.02288631704	0.99640018
97	0.02269282546	0.996700165
98	0.02243517912	0.9965501725
99	0.02219466453	0.9965501725
100	0.02185372172	0.9965501725
101	0.02162636553	0.9968501575
102	0.02134280273	0.9971501425
103	0.02116163531	0.9974501275
104	0.02076055604	0.99760012
105	0.02060198091	0.99760012
106	0.0202771389	0.9977501125
107	0.01992698773	0.997900105
108	0.01981166954	0.9980500975
109	0.01970200619	0.9980500975
110	0.01942021663	0.99820009
111	0.01911937313	0.99820009
112	0.01890704353	0.99820009
113	0.01860695548	0.99820009
114	0.01854196391	0.99820009
115	0.01846547268	0.9980500975
116	0.01803540396	0.9983500825
117	0.01792917743	0.99820009
118	0.01772415967	0.99820009
119	0.0175569848	0.99820009
120	0.0174829897	0.9983500825
121	0.0173370866	0.9983500825
122	0.01725169293	0.998500075
123	0.01717371671	0.998500075
124	0.01693660209	0.9986500675
125	0.01684603555	0.9986500675
126	0.01660687081	0.998500075
127	0.01629931952	0.998500075
128	0.01621825706	0.998500075
129	0.01617982752	0.9986500675
130	0.01613141413	0.9986500675
131	0.01583389859	0.9986500675
132	0.01571782567	0.9986500675
133	0.01554282048	0.9986500675
134	0.01539138516	0.9986500675
135	0.01521980878	0.9986500675
136	0.01502687025	0.9986500675
137	0.01498428446	0.9986500675
138	0.01497682508	0.9986500675
139	0.01488719154	0.9986500675
140	0.01478421746	0.99880006
141	0.01474811319	0.99880006
142	0.01462752894	0.99880006
143	0.01439024113	0.9986500675
144	0.01428294968	0.9986500675
