iter	Accuracy	Logloss
0	0.9573276437	0.5310562974
1	0.9627950393	0.4110379308
2	0.963595146	0.3143108866
3	0.9654620616	0.2365946127
4	0.9675956794	0.1853278242
5	0.9749299907	0.1438147204
6	0.9763968529	0.1190578563
7	0.9786638218	0.103596856
8	0.9795972796	0.09194354522
9	0.9821309508	0.08257029246
10	0.9826643552	0.07501851583
11	0.9847979731	0.0674266728
12	0.987064942	0.06001636241
13	0.9883984531	0.05466243707
14	0.9887985065	0.05041494442
15	0.9895986131	0.04489227945
16	0.9902653687	0.04067054142
17	0.9911988265	0.03926147031
18	0.9914655287	0.03681062726
19	0.9918655821	0.03552764878
20	0.9919989332	0.03315281368
21	0.9921322843	0.03228986976
22	0.9923989865	0.02998537123
23	0.9933324443	0.02871149784
24	0.994132551	0.02741436368
25	0.995332711	0.02521877881
26	0.9959994666	0.02425000157
27	0.9961328177	0.02364185017
28	0.9961328177	0.02346565769
29	0.996532871	0.02270449238
30	0.9971996266	0.02143810418
31	0.9977330311	0.0204110714
32	0.9978663822	0.02021990679
33	0.9982664355	0.01902801797
34	0.9982664355	0.01791363053
35	0.9982664355	0.01777250865
36	0.9983997866	0.01755615257
37	0.99879984	0.01702363112
38	0.9989331911	0.0168198082
39	0.9989331911	0.01673948527
40	0.9990665422	0.01668248508
41	0.9990665422	0.01616816703
42	0.9990665422	0.01600013397
43	0.9989331911	0.01514402566
44	0.9989331911	0.0146231055
45	0.9989331911	0.01400038352
46	0.9989331911	0.01379997987
47	0.9990665422	0.01356216968
48	0.9990665422	0.01346131779
49	0.9990665422	0.01292390927
50	0.9990665422	0.01239567558
51	0.9990665422	0.01173564674
52	0.9990665422	0.01167909717
53	0.9990665422	0.01164113347
54	0.9990665422	0.01137896074
55	0.9990665422	0.01112589558
56	0.9991998933	0.01092388802
57	0.9993332444	0.01079348548
58	0.9994665955	0.01057603161
59	0.9994665955	0.0105311962
60	0.9993332444	0.01042251305
61	0.9994665955	0.01026731247
62	0.9994665955	0.01012121866
63	0.9994665955	0.01004120611
64	0.9995999467	0.009965549711
65	0.9994665955	0.009883027175
66	0.9995999467	0.009536214325
67	0.9995999467	0.009418065721
68	0.9995999467	0.009287853046
69	0.9995999467	0.009175691655
70	0.9995999467	0.008980108898
71	0.9995999467	0.008735613107
72	0.9995999467	0.008654422537
73	0.9995999467	0.008262219957
74	0.9995999467	0.007984639335
75	0.9995999467	0.00757413027
76	0.9995999467	0.007574067344
77	0.9997332978	0.00748940823
78	0.9997332978	0.007471170316
79	0.9997332978	0.007260858187
80	0.9997332978	0.007175118652
81	0.9997332978	0.007134585481
82	0.9997332978	0.007103911864
83	0.9997332978	0.007084776474
84	0.9997332978	0.006963802141
85	0.9997332978	0.00672582275
86	0.9997332978	0.006660416156
87	0.9997332978	0.006660284241
88	0.9997332978	0.006542278332
89	0.9997332978	0.006525385707
90	0.9997332978	0.00622424154
91	0.9997332978	0.005933064751
92	0.9997332978	0.005933034652
93	0.9997332978	0.005918484764
94	0.9997332978	0.005918434868
95	0.9997332978	0.005897624972
96	0.9997332978	0.005890418923
97	0.9997332978	0.00589038057
98	0.9997332978	0.005880314552
99	0.9997332978	0.005865449677
100	0.9997332978	0.005865412536
101	0.9997332978	0.005854988869
102	0.9997332978	0.005825136279
103	0.9997332978	0.005824978344
104	0.9997332978	0.005824928875
105	0.9997332978	0.005716783516
106	0.9997332978	0.005706300255
107	0.9997332978	0.005694545533
108	0.9997332978	0.005614251184
109	0.9997332978	0.005607313269
110	0.9997332978	0.005607206601
111	0.9997332978	0.005408729755
112	0.9997332978	0.005408729755
113	0.9997332978	0.005360298378
114	0.9997332978	0.005359968825
115	0.9997332978	0.00534652277
116	0.9997332978	0.005346484605
117	0.9997332978	0.00534644536
118	0.9997332978	0.005346441038
119	0.9997332978	0.005346417492
120	0.9997332978	0.005346299108
121	0.9997332978	0.005346237044
122	0.9997332978	0.005346122582
123	0.9997332978	0.00534609894
124	0.9997332978	0.005346031434
125	0.9997332978	0.00534597582
126	0.9997332978	0.005345909552
127	0.9997332978	0.005345896543
128	0.9997332978	0.005345891547
129	0.9997332978	0.005345872083
130	0.9997332978	0.005345867233
131	0.9997332978	0.005345820532
132	0.9997332978	0.005345811645
133	0.9997332978	0.00534557888
134	0.9997332978	0.00534557888
135	0.9997332978	0.005345463048
136	0.9997332978	0.005345424599
137	0.9997332978	0.00534537272
138	0.9997332978	0.005345272965
139	0.9997332978	0.005345195531
140	0.9997332978	0.005345119863
141	0.9997332978	0.005345081753
142	0.9997332978	0.005345072172
143	0.9997332978	0.005345060187
144	0.9997332978	0.005345053137
145	0.9997332978	0.005344984526
146	0.9997332978	0.005344956398
147	0.9997332978	0.005344841885
148	0.9997332978	0.005344819176
149	0.9997332978	0.005281198714
150	0.9997332978	0.005281153341
151	0.9997332978	0.005281083295
152	0.9997332978	0.005280965947
153	0.9997332978	0.005280825526
154	0.9997332978	0.005280799918
155	0.9997332978	0.005273300903
156	0.9998666489	0.005249888351
157	0.9998666489	0.005249871838
158	0.9998666489	0.005249858889
159	0.9998666489	0.005246623977
160	0.9998666489	0.005246589958
161	0.9998666489	0.00524657925
162	0.9998666489	0.005246553881
163	0.9998666489	0.005246541945
164	0.9998666489	0.005246475657
165	0.9998666489	0.00523455756
166	0.9998666489	0.005234409756
167	0.9998666489	0.005234399154
168	0.9998666489	0.005178107847
169	0.9998666489	0.004889447452
170	0.9998666489	0.004889404996
171	0.9998666489	0.004643427418
172	0.9998666489	0.004643427418
173	0.9998666489	0.004643416512
174	0.9998666489	0.004643410275
175	0.9998666489	0.004643404826
176	0.9998666489	0.004643378585
177	0.9998666489	0.004643335055
178	0.9998666489	0.004635414768
179	0.9998666489	0.004635406088
180	0.9998666489	0.004635394469
181	0.9998666489	0.004635344364
182	0.9998666489	0.004635312469
183	0.9998666489	0.004635289285
184	0.9998666489	0.004635264291
185	0.9998666489	0.004635248388
186	0.9998666489	0.004635242602
187	0.9998666489	0.004635227034
188	0.9998666489	0.004635221251
189	0.9998666489	0.004635218775
190	0.9998666489	0.004635210388
191	0.9998666489	0.004635206556
192	0.9998666489	0.004635176737
193	0.9998666489	0.004635150511
194	0.9998666489	0.004635131028
195	0.9998666489	0.004635121297
196	0.9998666489	0.004635098198
197	0.9998666489	0.00463508666
198	0.9998666489	0.004627929647
199	0.9998666489	0.004627912953
200	0.9998666489	0.004627900737
201	0.9998666489	0.004627871033
202	0.9998666489	0.004627862725
203	0.9998666489	0.004627855153
204	0.9998666489	0.004627834529
205	0.9998666489	0.004627610706
206	0.9998666489	0.004627604782
207	0.9998666489	0.004627602379
208	0.9998666489	0.004627587362
209	0.9998666489	0.004627565748
210	0.9998666489	0.004627559737
211	0.9998666489	0.004627499703
212	0.9998666489	0.004627484731
213	0.9998666489	0.004627455469
214	0.9998666489	0.004627455469
215	0.9998666489	0.004627449431
216	0.9998666489	0.004627389694
217	0.9998666489	0.004627352485
218	0.9998666489	0.004627340109
219	0.9998666489	0.004627310353
220	0.9998666489	0.004627302912
221	0.9998666489	0.004627288363
222	0.9998666489	0.004627280963
223	0.9998666489	0.004627277247
224	0.9998666489	0.004627260994
225	0.9998666489	0.004627245934
226	0.9998666489	0.004627231087
227	0.9998666489	0.004627223665
228	0.9998666489	0.004627194001
229	0.9998666489	0.0046271683
230	0.9998666489	0.004627164596
231	0.9998666489	0.004627134182
232	0.9998666489	0.004627105232
233	0.9998666489	0.004627046108
234	0.9998666489	0.004627018076
235	0.9998666489	0.004626988586
236	0.9998666489	0.004626971194
237	0.9998666489	0.004626963808
238	0.9998666489	0.004626902836
239	0.9998666489	0.004626884093
240	0.9998666489	0.004626854723
241	0.9998666489	0.004626842826
242	0.9998666489	0.004626826287
243	0.9998666489	0.004626814399
244	0.9998666489	0.004626798988
245	0.9998666489	0.00462675886
246	0.9998666489	0.004626728684
247	0.9998666489	0.004626677817
248	0.9998666489	0.004626673729
249	0.9998666489	0.004626655044
250	0.9998666489	0.004626647742
251	0.9998666489	0.004626635752
252	0.9998666489	0.004626613405
253	0.9998666489	0.00462660127
254	0.9998666489	0.00462659195
255	0.9998666489	0.004626585321
256	0.9998666489	0.004626578191
257	0.9998666489	0.004624799827
258	0.9998666489	0.004624768882
259	0.9998666489	0.004624740776
260	0.9998666489	0.004624723945
261	0.9998666489	0.004624718652
262	0.9998666489	0.004624700703
263	0.9998666489	0.004624673818
264	0.9998666489	0.0046246632
265	0.9998666489	0.004605213774
266	0.9998666489	0.004605199736
267	0.9998666489	0.004597798153
268	0.9998666489	0.004597772393
269	0.9998666489	0.004597761887
270	0.9998666489	0.0045977581
271	0.9998666489	0.004597744186
272	0.9998666489	0.004597738506
273	0.9998666489	0.00459772033
274	0.9998666489	0.00459772033
275	0.9998666489	0.004597717236
276	0.9998666489	0.004597706746
277	0.9998666489	0.004597676712
278	0.9998666489	0.004597671043
279	0.9998666489	0.004597625197
280	0.9998666489	0.004597618257
281	0.9998666489	0.004597599464
282	0.9998666489	0.004597595699
283	0.9998666489	0.00459757801
284	0.9998666489	0.004597572785
285	0.9998666489	0.004597554021
286	0.9998666489	0.0045975488
287	0.9998666489	0.00459754358
288	0.9998666489	0.004597538361
289	0.9998666489	0.004597496631
290	0.9998666489	0.004597454963
291	0.9998666489	0.004597443699
292	0.9998666489	0.004597428823
293	0.9998666489	0.00459741757
294	0.9998666489	0.004597398906
295	0.9998666489	0.004597380254
296	0.9998666489	0.004597369019
297	0.9998666489	0.00459736669
298	0.9998666489	0.004597348688
299	0.9998666489	0.004597330706
300	0.9998666489	0.004597327789
301	0.9998666489	0.00446787579
302	0.9998666489	0.004467839957
303	0.9998666489	0.004467836802
304	0.9998666489	0.004467836802
305	0.9998666489	0.00446781118
306	0.9998666489	0.00446781118
307	0.9998666489	0.00446781118
308	0.9998666489	0.004467797477
309	0.9998666489	0.004467780421
310	0.9998666489	0.004467763384
311	0.9998666489	0.004467750762
312	0.9998666489	0.004467733301
313	0.9998666489	0.004467720247
314	0.9998666489	0.004467707458
315	0.9998666489	0.004467694865
316	0.9998666489	0.004467669696
317	0.9998666489	0.00446766341
318	0.9998666489	0.004467650854
319	0.9998666489	0.004467644493
320	0.9998666489	0.004467644493
321	0.9998666489	0.004467638213
322	0.9998666489	0.004467633981
323	0.9998666489	0.004467633981
324	0.9998666489	0.004467626443
325	0.9998666489	0.004467613898
326	0.9998666489	0.004467601361
327	0.9998666489	0.004467595072
328	0.9998666489	0.004467588785
329	0.9998666489	0.004467576239
330	0.9998666489	0.004467551392
331	0.9998666489	0.004467536541
332	0.9998666489	0.004467530228
333	0.9998666489	0.004467523984
334	0.9998666489	0.004467490531
335	0.9998666489	0.004467465334
336	0.9998666489	0.004467456935
337	0.9998666489	0.00446744854
338	0.9998666489	0.004467442304
339	0.9998666489	0.004467417424
340	0.9998666489	0.00446738306
341	0.9998666489	0.004467374689
342	0.9998666489	0.004467362146
343	0.9998666489	0.004467355944
344	0.9998666489	0.004467343394
345	0.9998666489	0.004467318345
346	0.9998666489	0.004467290948
347	0.9998666489	0.004467288877
348	0.9998666489	0.004467288877
349	0.9998666489	0.004467264308
350	0.9998666489	0.004467264308
351	0.9998666489	0.004467251937
352	0.9998666489	0.004467218869
